model,nodes,edges,elements,polygons,bonds,rigids,time
b3.s00000277__s00002499.tpn_0.json,268,313,581,72,0,1,21809692
b3.s00000285__s00002754.tpn_0.json,217,269,486,60,0,1,15221947
b3.s00000289__s00002759.tpn_0.json,286,361,647,79,0,1,31493027
b3.s00000293__s00002789.tpn_0.json,101,115,216,27,0,1,5331544
b3.s00000297__s00002867.tpn_0.json,52,66,118,14,0,1,2380048
b3.s00000299__s00002802.tpn_0.json,31,36,67,8,0,1,1087393
b3.s00000303__s00002838.tpn_0.json,97,120,217,26,0,1,5404207
b3.s00000309__s00002823.tpn_0.json,37,48,85,9,0,1,1374677
b3.s00000309__s00002823.tpn_1.json,41,45,86,10,0,1,4946966
b3.s00000311__s00002845.tpn_0.json,51,56,107,13,0,1,1907536
b3.s00000313__s00003131.tpn_0.json,170,199,369,45,0,1,12894035
b3.s00000315__s00003116.tpn_0.json,37,40,77,9,0,1,5210029
b3.s00000329__s00002947.tpn_0.json,178,227,405,48,0,1,11100460
b3.s00000329__s00002947.tpn_1.json,41,45,86,10,0,1,2569956
b3.s00000331__s00002882.tpn_0.json,236,296,532,66,0,1,23436266
b3.s00000335__s00002925.tpn_0.json,26,28,54,6,0,1,944203
b3.s00000335__s00002925.tpn_1.json,29,34,63,7,0,1,972282
b3.s00000341__s00003004.tpn_0.json,135,170,305,36,0,1,7187929
b3.s00000341__s00003004.tpn_1.json,41,45,86,10,0,1,2137265
b3.s00000343__s00003019.tpn_0.json,37,40,77,9,0,1,1585768
b3.s00000343__s00003019.tpn_1.json,252,323,575,66,0,1,26202534
b3.s00000345__s00003029.tpn_0.json,75,90,165,20,0,1,3450528
b3.s00000347__s00003039.tpn_0.json,53,64,117,14,0,1,2558215
b3.s00000349__s00003046.tpn_0.json,53,64,117,14,0,1,3482138
b3.s00000351__s00003073.tpn_0.json,116,130,246,32,0,1,7190803
b3.s00000355__s00003200.tpn_0.json,195,234,429,52,0,1,16198992
b3.s00000357__s00003150.tpn_0.json,35,38,73,9,0,1,2142930
b3.s00000357__s00003150.tpn_1.json,37,40,77,9,0,1,2132585
b3.s00000359__s00003133.tpn_0.json,26,28,54,6,0,1,871868
b3.s00000363__s00003167.tpn_0.json,26,28,54,6,0,1,1261126
b3.s00000367__s00003188.tpn_0.json,46,52,98,12,0,1,1624521
b3.s00000373__s00003408.tpn_0.json,245,355,600,64,0,1,18411793
b3.s00000373__s00003408.tpn_1.json,41,45,86,10,0,1,1512695
b3.s00000375__s00003221.tpn_0.json,37,48,85,9,0,1,1420820
b3.s00000375__s00003221.tpn_1.json,48,52,100,12,0,1,2182997
b3.s00000377__s00003371.tpn_0.json,26,28,54,6,0,1,915302
b3.s00000383__s00003316.tpn_0.json,54,60,114,14,0,1,3906701
b3.s00000387__s00003400.tpn_0.json,74,87,161,19,0,1,3217104
b3.s00000389__s00003421.tpn_0.json,41,45,86,10,0,1,2559693
b3.s00000389__s00003421.tpn_1.json,213,286,499,57,0,1,18017198
b3.s00000393__s00003428.tpn_0.json,238,302,540,63,0,1,18110387
b3.s00000397__s00003493.tpn_0.json,69,85,154,18,0,1,3311196
b3.s00000397__s00003493.tpn_1.json,37,40,77,9,0,1,2467653
b3.s00000399__s00003457.tpn_0.json,61,69,130,17,0,1,2948868
b3.s00000401__s00003486.tpn_0.json,29,34,63,7,0,1,1027785
b3.s00000405__s00005767.tpn_0.json,68,75,143,18,0,1,4859935
b3.s00000405__s00005767.tpn_1.json,25,27,52,6,0,1,1514173
